cust_id,age,gender,city,loyalty_segment,preferred_channel,registration_date
2,20,Female,Abu Dhabi,Gold,Store,2024-12-03
3,55,Male,Dubai,Gold,Website,2023-09-18
6,30,Male,Dubai,Silver,Website,2025-03-29
7,45,Female,Abu Dhabi,Silver,MobileApp,2022-03-16
8,35,Female,Dubai,Silver,Store,2024-09-20
9,40,Male,Dubai,Platinum,Store,2025-07-12
10,35,Female,Sharjah,Silver,Website,2022-03-11
11,35,Male,Abu Dhabi,Silver,Amazon.ae,2022-11-21
15,20,Female,Abu Dhabi,Silver,Website,2024-01-24
17,50,Female,Sharjah,Silver,MobileApp,2023-04-06
18,18,Male,Dubai,Platinum,Store,2024-04-06
19,35,Male,Sharjah,Silver,Store,2021-03-28
20,50,Female,Sharjah,Silver,Store,2021-01-03
21,20,Male,Abu Dhabi,Platinum,Website,2022-01-07
25,35,Male,Abu Dhabi,Silver,Store,2021-04-08
26,25,Female,Dubai,Gold,MobileApp,2022-11-01
27,50,Female,Sharjah,Silver,Website,2025-03-26
29,50,Male,Dubai,Gold,MobileApp,2022-06-18
31,45,Female,Dubai,Gold,Store,2022-01-02
33,25,Female,Sharjah,Silver,Store,2022-02-21
35,18,Female,Dubai,Silver,Store,2024-05-22
36,30,Male,Dubai,Silver,MobileApp,2023-04-28
37,20,Female,Dubai,Gold,Store,2022-11-01
41,25,Female,Abu Dhabi,Silver,Website,2023-01-11
42,35,Female,Dubai,Gold,Store,2022-11-26
43,18,Male,Sharjah,Silver,MobileApp,2021-01-23
47,25,Male,Sharjah,Silver,Noon,2022-04-05
48,35,Male,Abu Dhabi,Gold,Noon,2022-10-12
49,45,Female,Dubai,Silver,Amazon.ae,2022-04-27
50,35,Female,Abu Dhabi,Gold,MobileApp,2021-04-30
51,20,Male,Dubai,Platinum,Store,2022-11-04
53,45,Female,Dubai,Silver,Noon,2021-11-14
54,18,Female,Dubai,Gold,Store,2021-12-04
56,30,Female,Dubai,Silver,Store,2023-05-18
58,40,Male,Sharjah,Gold,Website,2022-01-29
61,40,Male,Abu Dhabi,Silver,Noon,2021-11-09
62,25,Male,Sharjah,Platinum,Website,2024-07-06
67,40,Male,Sharjah,Silver,Store,2022-02-13
69,25,Male,Dubai,Silver,Website,2021-08-08
76,20,Male,Sharjah,Silver,Store,2023-09-15
79,60,Male,Dubai,Gold,Store,2025-07-23
81,25,Male,Dubai,Silver,Store,2025-04-03
82,35,Male,Dubai,Silver,Website,2023-01-25
85,40,Male,Sharjah,Silver,Amazon.ae,2024-01-25
87,25,Male,Dubai,Silver,Store,2023-09-15
89,50,Male,Abu Dhabi,Gold,Store,2022-02-20
90,30,Male,Dubai,Gold,Store,2025-01-19
92,20,Male,Abu Dhabi,Gold,Amazon.ae,2025-09-07
93,60,Female,Dubai,Gold,Website,2024-11-28
94,20,Male,Abu Dhabi,Platinum,Website,2022-11-04
101,20,Male,Abu Dhabi,Silver,MobileApp,2022-01-08
102,20,Female,Sharjah,Silver,Store,2022-09-10
104,25,Female,Sharjah,Gold,Website,2025-03-24
105,18,Male,Dubai,Gold,Website,2025-07-17
106,55,Female,Sharjah,Silver,Store,2024-10-08
108,50,Female,Dubai,Silver,Website,2021-01-01
110,20,Male,Dubai,Silver,Store,2021-01-07
113,35,Male,Dubai,Silver,Store,2022-05-24
114,20,Female,Abu Dhabi,Silver,Website,2021-07-05
116,20,Male,Dubai,Silver,Store,2022-04-07
118,30,Male,Dubai,Platinum,Store,2022-09-27
121,18,Female,Sharjah,Platinum,Store,2022-07-30
122,45,Female,Abu Dhabi,Silver,MobileApp,2021-05-16
123,25,Male,Abu Dhabi,Silver,Store,2022-01-18
124,20,Female,Dubai,Silver,Website,2021-07-05
125,45,Male,Abu Dhabi,Gold,Store,2022-10-01
127,45,Male,Dubai,Silver,Website,2024-10-27
128,40,Female,Abu Dhabi,Silver,MobileApp,2023-08-22
129,35,Female,Dubai,Silver,MobileApp,2022-07-15
130,30,Female,Abu Dhabi,Silver,MobileApp,2024-04-04
131,18,Male,Sharjah,Gold,Store,2023-06-17
132,25,Male,Dubai,Silver,MobileApp,2022-10-01
134,25,Male,Sharjah,Silver,MobileApp,2025-09-09
135,35,Male,Abu Dhabi,Gold,Amazon.ae,2025-10-05
136,30,Female,Dubai,Platinum,Store,2024-03-26
137,18,Male,Dubai,Platinum,Store,2023-05-08
139,35,Male,Abu Dhabi,Silver,MobileApp,2023-09-25
140,18,Male,Dubai,Silver,Store,2021-10-12
145,40,Male,Abu Dhabi,Silver,MobileApp,2022-10-28
148,30,Female,Abu Dhabi,Platinum,Website,2024-11-19
150,45,Male,Abu Dhabi,Silver,Website,2021-08-01
152,35,Male,Dubai,Gold,MobileApp,2023-07-19
153,45,Female,Sharjah,Silver,Noon,2021-12-26
155,35,Female,Dubai,Platinum,MobileApp,2021-10-31
156,40,Male,Abu Dhabi,Silver,Amazon.ae,2024-03-24
157,35,Male,Dubai,Silver,Website,2024-11-04
158,35,Male,Dubai,Silver,Website,2021-07-19
159,35,Male,Sharjah,Silver,Store,2025-08-31
160,40,Male,Dubai,Silver,Website,2021-08-26
161,20,Female,Sharjah,Silver,Website,2022-11-02
162,45,Female,Dubai,Silver,MobileApp,2025-09-25
165,40,Male,Dubai,Silver,Store,2023-05-29
168,35,Male,Abu Dhabi,Silver,Store,2022-04-21
169,20,Male,Dubai,Silver,Website,2022-05-13
171,40,Male,Dubai,Silver,Website,2025-10-23
176,60,Female,Abu Dhabi,Gold,Website,2023-02-23
177,35,Male,Sharjah,Gold,Store,2022-03-05
178,25,Female,Abu Dhabi,Platinum,Store,2022-06-23
180,30,Male,Abu Dhabi,Silver,MobileApp,2025-01-06
181,40,Female,Abu Dhabi,Silver,Store,2023-08-26
182,20,Male,Sharjah,Silver,MobileApp,2021-07-29
184,30,Male,Dubai,Silver,Store,2025-09-30
185,55,Female,Abu Dhabi,Gold,Store,2022-05-06
186,25,Male,Sharjah,Platinum,MobileApp,2022-04-16
187,35,Male,Abu Dhabi,Silver,Store,2025-09-06
189,20,Male,Abu Dhabi,Silver,Store,2022-07-22
190,50,Female,Sharjah,Gold,Store,2022-10-26
192,18,Male,Abu Dhabi,Platinum,Store,2022-07-04
193,25,Male,Dubai,Gold,Store,2025-02-09
194,35,Male,Abu Dhabi,Gold,Amazon.ae,2021-07-17
197,25,Female,Dubai,Platinum,Website,2025-03-15
198,35,Female,Abu Dhabi,Gold,Website,2025-09-10
200,45,Male,Dubai,Silver,Store,2022-11-19
201,55,Male,Sharjah,Gold,Amazon.ae,2022-04-12
203,35,Male,Dubai,Gold,MobileApp,2021-05-19
208,25,Female,Abu Dhabi,Platinum,Website,2023-01-03
209,30,Male,Sharjah,Platinum,Store,2021-05-15
212,25,Male,Dubai,Silver,MobileApp,2022-08-02
213,25,Male,Dubai,Gold,Store,2023-12-29
214,60,Male,Dubai,Silver,Store,2022-03-15
215,25,Male,Dubai,Platinum,Store,2021-03-18
217,20,Male,Abu Dhabi,Silver,MobileApp,2022-01-09
218,40,Male,Dubai,Silver,MobileApp,2023-11-02
220,20,Female,Dubai,Gold,Store,2023-01-28
221,18,Male,Dubai,Silver,Website,2023-01-19
222,35,Male,Abu Dhabi,Gold,Noon,2023-02-03
226,20,Female,Dubai,Silver,MobileApp,2025-07-02
228,50,Male,Sharjah,Silver,Website,2021-11-07
229,25,Male,Dubai,Silver,Store,2024-08-24
231,25,Male,Abu Dhabi,Silver,Website,2022-09-17
234,25,Male,Dubai,Gold,Website,2024-09-25
236,20,Female,Abu Dhabi,Silver,Store,2025-05-20
237,20,Female,Dubai,Gold,MobileApp,2025-01-15
239,35,Male,Dubai,Gold,MobileApp,2025-01-19
240,25,Female,Abu Dhabi,Silver,Store,2023-05-23
241,45,Female,Abu Dhabi,Silver,Website,2021-08-24
242,30,Female,Sharjah,Platinum,Store,2022-01-24
244,20,Female,Dubai,Gold,Store,2025-07-23
246,40,Male,Sharjah,Gold,Store,2021-01-30
251,20,Male,Dubai,Silver,Amazon.ae,2021-10-10
252,18,Female,Dubai,Gold,Store,2025-10-19
253,50,Female,Dubai,Gold,Store,2021-08-26
254,35,Male,Sharjah,Silver,Store,2025-10-29
255,40,Male,Abu Dhabi,Silver,MobileApp,2023-01-01
259,35,Male,Dubai,Silver,Store,2023-09-05
260,25,Male,Sharjah,Platinum,Store,2023-07-04
261,20,Female,Dubai,Gold,Store,2025-07-08
267,25,Male,Abu Dhabi,Platinum,Amazon.ae,2022-08-06
268,30,Female,Dubai,Silver,Amazon.ae,2024-09-27
270,18,Male,Sharjah,Gold,Website,2021-05-16
271,25,Female,Abu Dhabi,Platinum,Store,2023-09-05
275,35,Male,Dubai,Silver,Website,2021-01-17
276,45,Female,Dubai,Gold,Store,2024-05-23
277,40,Male,Abu Dhabi,Platinum,Website,2024-11-19
279,30,Female,Dubai,Gold,Website,2022-02-18
280,20,Female,Dubai,Silver,Store,2024-06-21
283,20,Female,Sharjah,Silver,Store,2021-01-06
284,30,Male,Abu Dhabi,Gold,Store,2023-02-19
286,35,Female,Dubai,Gold,MobileApp,2021-07-08
287,30,Female,Sharjah,Gold,Website,2025-06-27
288,18,Female,Dubai,Silver,MobileApp,2025-06-28
289,25,Male,Sharjah,Silver,Store,2022-02-24
290,30,Female,Dubai,Gold,Amazon.ae,2023-12-27
292,25,Male,Dubai,Gold,Store,2021-09-05
293,18,Female,Dubai,Silver,Store,2023-05-10
297,30,Female,Abu Dhabi,Gold,Store,2024-01-12
299,40,Female,Dubai,Silver,MobileApp,2024-01-11
303,35,Female,Abu Dhabi,Silver,Store,2021-05-13
305,18,Female,Dubai,Silver,Website,2022-01-12
307,18,Male,Abu Dhabi,Silver,MobileApp,2021-07-30
308,30,Female,Dubai,Silver,MobileApp,2021-05-12
311,35,Male,Sharjah,Silver,Store,2023-07-09
312,40,Male,Dubai,Silver,Store,2024-12-17
315,18,Male,Dubai,Gold,Website,2024-10-21
317,30,Female,Dubai,Silver,Noon,2021-05-27
319,30,Male,Sharjah,Silver,Website,2024-02-25
321,30,Female,Abu Dhabi,Silver,Store,2022-12-16
323,18,Female,Dubai,Silver,MobileApp,2025-05-16
324,18,Male,Sharjah,Silver,Store,2021-08-19
