date,store_id,sku_id,customer_id,quantity,unit_price,total_value,channel,discount_pct
2022-01-17,41,1020,2071.0,4,7.47,29.88,Website,25.0
2025-06-28,36,1147,986.0,1,20.74,20.74,MobileApp,0.0
2024-02-18,6,1125,4567.0,4,26.97,107.88,Store,0.0
2022-02-14,18,1103,1595.0,3,28.79,86.37,Store,25.0
2025-03-21,45,1173,3846.0,2,163.58,327.16,Website,0.0
2024-01-12,10,1046,4050.0,3,49.46,148.38,MobileApp,15.0
2021-09-25,5,1034,4175.0,1,57.56,57.56,Website,0.0
2022-12-02,6,1183,3816.0,6,120.41,722.46,Noon,10.0
2024-01-09,2,1017,,3,36.75,110.25,Store,15.0
2022-09-28,3,1042,1956.0,1,44.9,44.9,Store,0.0
2023-06-14,4,1027,49.0,1,6.05,6.05,Store,0.0
2022-12-19,8,1171,578.0,4,41.67,166.68,MobileApp,0.0
2021-02-09,29,1148,3147.0,2,45.57,91.14,Noon,15.0
2024-01-06,2,1043,4032.0,4,19.93,79.72,Website,15.0
2023-08-27,37,1121,1043.0,1,31.88,31.88,Store,0.0
2022-12-20,44,1014,1679.0,2,7.83,15.66,Store,0.0
2022-07-22,9,1077,2851.0,4,47.6,190.4,Store,0.0
2021-03-04,7,1147,,2,20.74,41.48,Store,0.0
2023-04-23,15,1008,,5,43.94,219.7,Store,0.0
2021-04-14,15,1143,,4,12.91,51.64,MobileApp,25.0
2023-06-03,47,1176,4563.0,1,6.83,6.83,Amazon.ae,0.0
2025-01-24,26,1163,1041.0,4,31.78,127.12,Store,15.0
2024-01-10,22,1114,1939.0,1,152.42,152.42,Store,0.0
2025-04-20,7,1188,483.0,1,20.38,20.38,Website,0.0
2023-04-27,37,1132,,1,34.78,34.78,Store,0.0
2023-11-16,34,1098,1569.0,2,103.53,207.06,Amazon.ae,0.0
2021-11-30,17,1153,1833.0,1,160.72,160.72,Store,0.0
2021-05-10,15,1115,2588.0,3,44.22,132.66,MobileApp,0.0
2021-11-10,44,1134,,4,13.83,55.32,Store,0.0
2021-06-05,25,1092,1478.0,3,28.19,84.57,Store,0.0
2022-01-24,41,1148,2610.0,6,40.21,241.26,Store,25.0
2021-09-07,44,1026,,3,5.7,17.1,Store,0.0
2023-12-23,1,1167,1045.0,3,44.15,132.45,Website,0.0
2021-12-22,18,1136,4743.0,3,60.29,180.87,MobileApp,0.0
2022-04-12,4,1150,1614.0,1,99.85,99.85,Store,25.0
