store_id,store_name,city,store_type,opening_date
9,BlueMart Store 09,Abu Dhabi,Mall,2017-01-01
10,BlueMart Store 10,Abu Dhabi,Mall,2017-01-31
11,BlueMart Store 11,Dubai,Mall,2017-03-02
12,BlueMart Store 12,Sharjah,Mall,2017-04-01
13,BlueMart Store 13,Sharjah,Community,2017-05-01
14,BlueMart Store 14,Dubai,Mall,2017-05-31
15,BlueMart Store 15,Dubai,Mall,2017-06-30
16,BlueMart Store 16,Dubai,High Street,2017-07-30
17,BlueMart Store 17,Dubai,Mall,2017-08-29
18,BlueMart Store 18,Abu Dhabi,Community,2017-09-28
19,BlueMart Store 19,Dubai,Mall,2017-03-31
20,BlueMart Store 20,Dubai,Community,2017-04-08
21,BlueMart Store 21,Abu Dhabi,High Street,2017-04-17
22,BlueMart Store 22,Dubai,Mall,2017-04-26
23,BlueMart Store 23,Dubai,Mall,2017-05-05
24,BlueMart Store 24,Dubai,Community,2017-05-14
25,BlueMart Store 25,Dubai,High Street,2017-05-23
1,BlueMart Store 01,Dubai,Community,2017-06-01
26,BlueMart Store 26,Abu Dhabi,High Street,2017-06-01
27,BlueMart Store 27,Dubai,High Street,2017-06-10
28,BlueMart Store 28,Abu Dhabi,Mall,2017-06-19
29,BlueMart Store 29,Abu Dhabi,Mall,2017-06-28
2,BlueMart Store 02,Sharjah,High Street,2017-07-01
30,BlueMart Store 30,Dubai,Mall,2017-07-06
31,BlueMart Store 31,Abu Dhabi,Community,2017-07-15
32,BlueMart Store 32,Dubai,High Street,2017-07-24
3,BlueMart Store 03,Abu Dhabi,Community,2017-07-31
33,BlueMart Store 33,Dubai,Mall,2017-08-02
34,BlueMart Store 34,Sharjah,Mall,2017-08-11
35,BlueMart Store 35,Sharjah,Mall,2017-08-20
36,BlueMart Store 36,Sharjah,Mall,2017-08-29
4,BlueMart Store 04,Abu Dhabi,Community,2017-08-30
37,BlueMart Store 37,Dubai,High Street,2017-09-07
38,BlueMart Store 38,Dubai,High Street,2017-09-16
39,BlueMart Store 39,Abu Dhabi,Community,2017-09-25
5,BlueMart Store 05,Dubai,High Street,2017-09-29
40,BlueMart Store 40,Dubai,High Street,2017-10-03
41,BlueMart Store 41,Dubai,Mall,2017-10-12
42,BlueMart Store 42,Dubai,High Street,2017-10-21
6,BlueMart Store 06,Dubai,Community,2017-10-29
43,BlueMart Store 43,Dubai,High Street,2017-10-30
44,BlueMart Store 44,Sharjah,High Street,2017-11-08
45,BlueMart Store 45,Dubai,High Street,2017-11-17
46,BlueMart Store 46,Abu Dhabi,High Street,2017-11-26
7,BlueMart Store 07,Dubai,Mall,2017-11-28
47,BlueMart Store 47,Dubai,High Street,2017-12-05
48,BlueMart Store 48,Abu Dhabi,High Street,2017-12-14
49,BlueMart Store 49,Abu Dhabi,Mall,2017-12-23
8,BlueMart Store 08,Sharjah,Mall,2017-12-28
50,BlueMart Store 50,Dubai,Mall,2018-01-01
